access_contract,arm,card_id,condition,condition_factors,n_makers,recorded_metrics,source
"{""access_arms"":""artifact-only and four paid probe policies; all/direct-all receive identical requested observations with the same prices"",""history_access"":""producer/revision views describe the same first retained work; shared raw-style evidence is counted once""}",all,M04,learned-order-none-selector-True-brief-False,"{""family"":""learned-order"",""id"":""learned-order-none-selector-True-brief-False"",""revision"":""none"",""selector"":true,""shared_brief"":false}",1024,"{""compatible_topologies"":2.0,""entropy_terms"":2.0,""future_brief_log_score"":-2.6671373443143434e-17,""future_producer_core_log_score"":-0.5510393877335154,""future_producer_style_log_score"":-0.441508018215852,""future_production_primitives"":35.0,""future_release_log_score"":-0.43770004948522184,""future_revision_log_score"":-2.6671373443143434e-17,""historical_core_log_score"":0.0,""library_definition_cost"":8.0,""likelihood_terms"":4992.0,""original_production_primitives"":60.0,""prediction_terms"":4864.0,""probe_production_primitives"":10.0,""query_count"":4.0,""rejected_works"":9.0,""retained_works"":3.0,""topology_entropy"":0.6608856469099963,""topology_log_score"":-0.6579946265748425,""training_primitives"":56.0}",boundary-expansion-1/M04
"{""access_arms"":""artifact-only and four paid probe policies; all/direct-all receive identical requested observations with the same prices"",""history_access"":""producer/revision views describe the same first retained work; shared raw-style evidence is counted once""}",artifact-only,M04,learned-order-none-selector-True-brief-False,"{""family"":""learned-order"",""id"":""learned-order-none-selector-True-brief-False"",""revision"":""none"",""selector"":true,""shared_brief"":false}",1024,"{""compatible_topologies"":8.958984375,""entropy_terms"":8.958984375,""future_brief_log_score"":-0.5417960993919877,""future_producer_core_log_score"":-0.6931471805599453,""future_producer_style_log_score"":-0.5679481334194911,""future_production_primitives"":35.0,""future_release_log_score"":-0.47775997354223027,""future_revision_log_score"":-1.0986122886681098,""historical_core_log_score"":-0.6931471805599453,""library_definition_cost"":8.0,""likelihood_terms"":2304.0,""original_production_primitives"":60.0,""prediction_terms"":4864.0,""probe_production_primitives"":0.0,""query_count"":0.0,""rejected_works"":9.0,""retained_works"":3.0,""topology_entropy"":2.0998478120280186,""topology_log_score"":-2.3281282874728877,""training_primitives"":56.0}",boundary-expansion-1/M04
"{""access_arms"":""artifact-only and four paid probe policies; all/direct-all receive identical requested observations with the same prices"",""history_access"":""producer/revision views describe the same first retained work; shared raw-style evidence is counted once""}",brief-flip,M04,learned-order-none-selector-True-brief-False,"{""family"":""learned-order"",""id"":""learned-order-none-selector-True-brief-False"",""revision"":""none"",""selector"":true,""shared_brief"":false}",1024,"{""compatible_topologies"":6.0,""entropy_terms"":6.0,""future_brief_log_score"":-7.589415207398768e-18,""future_producer_core_log_score"":-0.6931471805599454,""future_producer_style_log_score"":-0.5174020813446433,""future_production_primitives"":35.0,""future_release_log_score"":-0.4514434605485753,""future_revision_log_score"":-1.0986122886681098,""historical_core_log_score"":-0.6931471805599454,""library_definition_cost"":8.0,""likelihood_terms"":3072.0,""original_production_primitives"":60.0,""prediction_terms"":4864.0,""probe_production_primitives"":5.0,""query_count"":1.0,""rejected_works"":9.0,""retained_works"":3.0,""topology_entropy"":1.7729270285307726,""topology_log_score"":-1.7704554003701474,""training_primitives"":56.0}",boundary-expansion-1/M04
"{""access_arms"":""artifact-only and four paid probe policies; all/direct-all receive identical requested observations with the same prices"",""history_access"":""producer/revision views describe the same first retained work; shared raw-style evidence is counted once""}",direct-all,M04,learned-order-none-selector-True-brief-False,"{""family"":""learned-order"",""id"":""learned-order-none-selector-True-brief-False"",""revision"":""none"",""selector"":true,""shared_brief"":false}",1024,"{""compatible_topologies"":2.0,""entropy_terms"":2.0,""future_brief_log_score"":1.1926223897340507e-17,""future_producer_core_log_score"":-0.5510393877335154,""future_producer_style_log_score"":-0.441508018215852,""future_production_primitives"":35.0,""future_release_log_score"":-0.4377000494852218,""future_revision_log_score"":1.1926223897340507e-17,""historical_core_log_score"":0.0,""library_definition_cost"":8.0,""likelihood_terms"":4992.0,""original_production_primitives"":60.0,""prediction_terms"":4864.0,""probe_production_primitives"":10.0,""query_count"":4.0,""rejected_works"":9.0,""retained_works"":3.0,""topology_entropy"":0.6608856469099963,""topology_log_score"":-0.6579946265748425,""training_primitives"":56.0}",boundary-expansion-1/M04
"{""access_arms"":""artifact-only and four paid probe policies; all/direct-all receive identical requested observations with the same prices"",""history_access"":""producer/revision views describe the same first retained work; shared raw-style evidence is counted once""}",producer-view,M04,learned-order-none-selector-True-brief-False,"{""family"":""learned-order"",""id"":""learned-order-none-selector-True-brief-False"",""revision"":""none"",""selector"":true,""shared_brief"":false}",1024,"{""compatible_topologies"":8.958984375,""entropy_terms"":8.958984375,""future_brief_log_score"":-0.5417960993919877,""future_producer_core_log_score"":-0.5510393877335154,""future_producer_style_log_score"":-0.5700361076996942,""future_production_primitives"":35.0,""future_release_log_score"":-0.48071126914365825,""future_revision_log_score"":-0.7977117427092861,""historical_core_log_score"":0.0,""library_definition_cost"":8.0,""likelihood_terms"":3072.0,""original_production_primitives"":60.0,""prediction_terms"":4864.0,""probe_production_primitives"":0.0,""query_count"":1.0,""rejected_works"":9.0,""retained_works"":3.0,""topology_entropy"":2.0503607649212956,""topology_log_score"":-2.027227741514064,""training_primitives"":56.0}",boundary-expansion-1/M04
"{""access_arms"":""artifact-only and four paid probe policies; all/direct-all receive identical requested observations with the same prices"",""history_access"":""producer/revision views describe the same first retained work; shared raw-style evidence is counted once""}",revision-view,M04,learned-order-none-selector-True-brief-False,"{""family"":""learned-order"",""id"":""learned-order-none-selector-True-brief-False"",""revision"":""none"",""selector"":true,""shared_brief"":false}",1024,"{""compatible_topologies"":2.986328125,""entropy_terms"":2.986328125,""future_brief_log_score"":-0.5417960993919877,""future_producer_core_log_score"":-0.6931471805599453,""future_producer_style_log_score"":-0.5575928912844816,""future_production_primitives"":35.0,""future_release_log_score"":-0.47775997354223027,""future_revision_log_score"":1.886511780124767e-17,""historical_core_log_score"":-0.6931471805599453,""library_definition_cost"":8.0,""likelihood_terms"":3072.0,""original_production_primitives"":60.0,""prediction_terms"":4864.0,""probe_production_primitives"":0.0,""query_count"":1.0,""rejected_works"":9.0,""retained_works"":3.0,""topology_entropy"":1.0012355233599088,""topology_log_score"":-1.229515998804778,""training_primitives"":56.0}",boundary-expansion-1/M04
"{""access_arms"":""artifact-only and four paid probe policies; all/direct-all receive identical requested observations with the same prices"",""history_access"":""producer/revision views describe the same first retained work; shared raw-style evidence is counted once""}",unselected-view,M04,learned-order-none-selector-True-brief-False,"{""family"":""learned-order"",""id"":""learned-order-none-selector-True-brief-False"",""revision"":""none"",""selector"":true,""shared_brief"":false}",1024,"{""compatible_topologies"":8.958984375,""entropy_terms"":8.958984375,""future_brief_log_score"":-0.5417960993919877,""future_producer_core_log_score"":-0.6931471805599454,""future_producer_style_log_score"":-0.5130323278481582,""future_production_primitives"":35.0,""future_release_log_score"":-0.4507863584492264,""future_revision_log_score"":-1.0986122886681098,""historical_core_log_score"":-0.6931471805599454,""library_definition_cost"":8.0,""likelihood_terms"":3072.0,""original_production_primitives"":60.0,""prediction_terms"":4864.0,""probe_production_primitives"":5.0,""query_count"":1.0,""rejected_works"":9.0,""retained_works"":3.0,""topology_entropy"":2.0871969295150703,""topology_log_score"":-2.307677195328794,""training_primitives"":56.0}",boundary-expansion-1/M04
"{""access_arms"":""artifact-only and four paid probe policies; all/direct-all receive identical requested observations with the same prices"",""history_access"":""producer/revision views describe the same first retained work; shared raw-style evidence is counted once""}",all,M04,learned-order-none-selector-True-brief-True,"{""family"":""learned-order"",""id"":""learned-order-none-selector-True-brief-True"",""revision"":""none"",""selector"":true,""shared_brief"":true}",1024,"{""compatible_topologies"":2.0,""entropy_terms"":2.0,""future_brief_log_score"":1.322726650432306e-17,""future_producer_core_log_score"":-0.5510393877335154,""future_producer_style_log_score"":-0.441508018215852,""future_production_primitives"":35.0,""future_release_log_score"":-0.43770004948522184,""future_revision_log_score"":1.322726650432306e-17,""historical_core_log_score"":0.0,""library_definition_cost"":8.0,""likelihood_terms"":4992.0,""original_production_primitives"":60.0,""prediction_terms"":4864.0,""probe_production_primitives"":10.0,""query_count"":4.0,""rejected_works"":9.0,""retained_works"":3.0,""topology_entropy"":0.6608856469099963,""topology_log_score"":-0.6579946265748425,""training_primitives"":56.0}",boundary-expansion-1/M04
"{""access_arms"":""artifact-only and four paid probe policies; all/direct-all receive identical requested observations with the same prices"",""history_access"":""producer/revision views describe the same first retained work; shared raw-style evidence is counted once""}",artifact-only,M04,learned-order-none-selector-True-brief-True,"{""family"":""learned-order"",""id"":""learned-order-none-selector-True-brief-True"",""revision"":""none"",""selector"":true,""shared_brief"":true}",1024,"{""compatible_topologies"":12.0,""entropy_terms"":12.0,""future_brief_log_score"":-0.4054651081081645,""future_producer_core_log_score"":-0.6931471805599453,""future_producer_style_log_score"":-0.5679481334194911,""future_production_primitives"":35.0,""future_release_log_score"":-0.47775997354223027,""future_revision_log_score"":-1.0986122886681098,""historical_core_log_score"":-0.6931471805599453,""library_definition_cost"":8.0,""likelihood_terms"":2304.0,""original_production_primitives"":60.0,""prediction_terms"":4864.0,""probe_production_primitives"":0.0,""query_count"":0.0,""rejected_works"":9.0,""retained_works"":3.0,""topology_entropy"":2.4224560672477526,""topology_log_score"":-2.191797296189064,""training_primitives"":56.0}",boundary-expansion-1/M04
"{""access_arms"":""artifact-only and four paid probe policies; all/direct-all receive identical requested observations with the same prices"",""history_access"":""producer/revision views describe the same first retained work; shared raw-style evidence is counted once""}",brief-flip,M04,learned-order-none-selector-True-brief-True,"{""family"":""learned-order"",""id"":""learned-order-none-selector-True-brief-True"",""revision"":""none"",""selector"":true,""shared_brief"":true}",1024,"{""compatible_topologies"":6.0,""entropy_terms"":6.0,""future_brief_log_score"":-1.795438797636004e-16,""future_producer_core_log_score"":-0.6931471805599452,""future_producer_style_log_score"":-0.5174020813446433,""future_production_primitives"":35.0,""future_release_log_score"":-0.4514434605485753,""future_revision_log_score"":-1.0986122886681098,""historical_core_log_score"":-0.6931471805599452,""library_definition_cost"":8.0,""likelihood_terms"":3072.0,""original_production_primitives"":60.0,""prediction_terms"":4864.0,""probe_production_primitives"":5.0,""query_count"":1.0,""rejected_works"":9.0,""retained_works"":3.0,""topology_entropy"":1.7729270285307726,""topology_log_score"":-1.7704554003701474,""training_primitives"":56.0}",boundary-expansion-1/M04
"{""access_arms"":""artifact-only and four paid probe policies; all/direct-all receive identical requested observations with the same prices"",""history_access"":""producer/revision views describe the same first retained work; shared raw-style evidence is counted once""}",direct-all,M04,learned-order-none-selector-True-brief-True,"{""family"":""learned-order"",""id"":""learned-order-none-selector-True-brief-True"",""revision"":""none"",""selector"":true,""shared_brief"":true}",1024,"{""compatible_topologies"":2.0,""entropy_terms"":2.0,""future_brief_log_score"":5.637851296924443e-18,""future_producer_core_log_score"":-0.5510393877335154,""future_producer_style_log_score"":-0.441508018215852,""future_production_primitives"":35.0,""future_release_log_score"":-0.43770004948522184,""future_revision_log_score"":5.637851296924443e-18,""historical_core_log_score"":0.0,""library_definition_cost"":8.0,""likelihood_terms"":4992.0,""original_production_primitives"":60.0,""prediction_terms"":4864.0,""probe_production_primitives"":10.0,""query_count"":4.0,""rejected_works"":9.0,""retained_works"":3.0,""topology_entropy"":0.6608856469099963,""topology_log_score"":-0.6579946265748425,""training_primitives"":56.0}",boundary-expansion-1/M04
"{""access_arms"":""artifact-only and four paid probe policies; all/direct-all receive identical requested observations with the same prices"",""history_access"":""producer/revision views describe the same first retained work; shared raw-style evidence is counted once""}",producer-view,M04,learned-order-none-selector-True-brief-True,"{""family"":""learned-order"",""id"":""learned-order-none-selector-True-brief-True"",""revision"":""none"",""selector"":true,""shared_brief"":true}",1024,"{""compatible_topologies"":12.0,""entropy_terms"":12.0,""future_brief_log_score"":-0.40546510810816444,""future_producer_core_log_score"":-0.5510393877335154,""future_producer_style_log_score"":-0.570036107699694,""future_production_primitives"":35.0,""future_release_log_score"":-0.48071126914365825,""future_revision_log_score"":-0.7977117427092861,""historical_core_log_score"":0.0,""library_definition_cost"":8.0,""likelihood_terms"":3072.0,""original_production_primitives"":60.0,""prediction_terms"":4864.0,""probe_production_primitives"":0.0,""query_count"":1.0,""rejected_works"":9.0,""retained_works"":3.0,""topology_entropy"":2.37296902014103,""topology_log_score"":-1.8908967502302407,""training_primitives"":56.0}",boundary-expansion-1/M04
"{""access_arms"":""artifact-only and four paid probe policies; all/direct-all receive identical requested observations with the same prices"",""history_access"":""producer/revision views describe the same first retained work; shared raw-style evidence is counted once""}",revision-view,M04,learned-order-none-selector-True-brief-True,"{""family"":""learned-order"",""id"":""learned-order-none-selector-True-brief-True"",""revision"":""none"",""selector"":true,""shared_brief"":true}",1024,"{""compatible_topologies"":4.0,""entropy_terms"":4.0,""future_brief_log_score"":-0.40546510810816433,""future_producer_core_log_score"":-0.6931471805599453,""future_producer_style_log_score"":-0.5575928912844816,""future_production_primitives"":35.0,""future_release_log_score"":-0.47775997354223027,""future_revision_log_score"":4.065758146820623e-17,""historical_core_log_score"":-0.6931471805599453,""library_definition_cost"":8.0,""likelihood_terms"":3072.0,""original_production_primitives"":60.0,""prediction_terms"":4864.0,""probe_production_primitives"":0.0,""query_count"":1.0,""rejected_works"":9.0,""retained_works"":3.0,""topology_entropy"":1.3238437785796429,""topology_log_score"":-1.0931850075209546,""training_primitives"":56.0}",boundary-expansion-1/M04
"{""access_arms"":""artifact-only and four paid probe policies; all/direct-all receive identical requested observations with the same prices"",""history_access"":""producer/revision views describe the same first retained work; shared raw-style evidence is counted once""}",unselected-view,M04,learned-order-none-selector-True-brief-True,"{""family"":""learned-order"",""id"":""learned-order-none-selector-True-brief-True"",""revision"":""none"",""selector"":true,""shared_brief"":true}",1024,"{""compatible_topologies"":12.0,""entropy_terms"":12.0,""future_brief_log_score"":-0.4054651081081646,""future_producer_core_log_score"":-0.6931471805599454,""future_producer_style_log_score"":-0.5130323278481583,""future_production_primitives"":35.0,""future_release_log_score"":-0.45078635844922643,""future_revision_log_score"":-1.0986122886681098,""historical_core_log_score"":-0.6931471805599454,""library_definition_cost"":8.0,""likelihood_terms"":3072.0,""original_production_primitives"":60.0,""prediction_terms"":4864.0,""probe_production_primitives"":5.0,""query_count"":1.0,""rejected_works"":9.0,""retained_works"":3.0,""topology_entropy"":2.4098051847348048,""topology_log_score"":-2.1713462040449705,""training_primitives"":56.0}",boundary-expansion-1/M04
"{""access_arms"":""artifact-only and four paid probe policies; all/direct-all receive identical requested observations with the same prices"",""history_access"":""producer/revision views describe the same first retained work; shared raw-style evidence is counted once""}",all,M04,learned-order-self-selector-False-brief-False,"{""family"":""learned-order"",""id"":""learned-order-self-selector-False-brief-False"",""revision"":""self"",""selector"":false,""shared_brief"":false}",1024,"{""compatible_topologies"":4.0,""entropy_terms"":4.0,""future_brief_log_score"":-1.160096324559495e-17,""future_producer_core_log_score"":-0.5516504476623639,""future_producer_style_log_score"":-0.4674297230149085,""future_production_primitives"":59.0,""future_release_log_score"":-0.4291802704662895,""future_revision_log_score"":-0.4634941205401603,""historical_core_log_score"":0.0,""library_definition_cost"":8.0,""likelihood_terms"":4992.0,""original_production_primitives"":108.0,""prediction_terms"":4864.0,""probe_production_primitives"":18.0,""query_count"":4.0,""rejected_works"":9.0,""retained_works"":3.0,""topology_entropy"":1.3194006947040997,""topology_log_score"":-1.2650152973855282,""training_primitives"":56.0}",boundary-expansion-1/M04
"{""access_arms"":""artifact-only and four paid probe policies; all/direct-all receive identical requested observations with the same prices"",""history_access"":""producer/revision views describe the same first retained work; shared raw-style evidence is counted once""}",artifact-only,M04,learned-order-self-selector-False-brief-False,"{""family"":""learned-order"",""id"":""learned-order-self-selector-False-brief-False"",""revision"":""self"",""selector"":false,""shared_brief"":false}",1024,"{""compatible_topologies"":8.958984375,""entropy_terms"":8.958984375,""future_brief_log_score"":-0.5417960993919877,""future_producer_core_log_score"":-0.6931471805599453,""future_producer_style_log_score"":-0.5023606306122971,""future_production_primitives"":59.0,""future_release_log_score"":-0.4511940243195452,""future_revision_log_score"":-0.9069357373702417,""historical_core_log_score"":-0.6931471805599453,""library_definition_cost"":8.0,""likelihood_terms"":2304.0,""original_production_primitives"":108.0,""prediction_terms"":4864.0,""probe_production_primitives"":0.0,""query_count"":0.0,""rejected_works"":9.0,""retained_works"":3.0,""topology_entropy"":2.100080899858792,""topology_log_score"":-2.3230556838673597,""training_primitives"":56.0}",boundary-expansion-1/M04
"{""access_arms"":""artifact-only and four paid probe policies; all/direct-all receive identical requested observations with the same prices"",""history_access"":""producer/revision views describe the same first retained work; shared raw-style evidence is counted once""}",brief-flip,M04,learned-order-self-selector-False-brief-False,"{""family"":""learned-order"",""id"":""learned-order-self-selector-False-brief-False"",""revision"":""self"",""selector"":false,""shared_brief"":false}",1024,"{""compatible_topologies"":6.0,""entropy_terms"":6.0,""future_brief_log_score"":-7.589415207398751e-18,""future_producer_core_log_score"":-0.6931471805599453,""future_producer_style_log_score"":-0.4807524178377758,""future_production_primitives"":59.0,""future_release_log_score"":-0.4433269540886376,""future_revision_log_score"":-0.8989721039475534,""historical_core_log_score"":-0.6931471805599453,""library_definition_cost"":8.0,""likelihood_terms"":3072.0,""original_production_primitives"":108.0,""prediction_terms"":4864.0,""probe_production_primitives"":9.0,""query_count"":1.0,""rejected_works"":9.0,""retained_works"":3.0,""topology_entropy"":1.774986444549138,""topology_log_score"":-1.7665042498972137,""training_primitives"":56.0}",boundary-expansion-1/M04
"{""access_arms"":""artifact-only and four paid probe policies; all/direct-all receive identical requested observations with the same prices"",""history_access"":""producer/revision views describe the same first retained work; shared raw-style evidence is counted once""}",direct-all,M04,learned-order-self-selector-False-brief-False,"{""family"":""learned-order"",""id"":""learned-order-self-selector-False-brief-False"",""revision"":""self"",""selector"":false,""shared_brief"":false}",1024,"{""compatible_topologies"":4.0,""entropy_terms"":4.0,""future_brief_log_score"":1.3335686721571609e-17,""future_producer_core_log_score"":-0.5516504476623639,""future_producer_style_log_score"":-0.4674297230149085,""future_production_primitives"":59.0,""future_release_log_score"":-0.4291802704662895,""future_revision_log_score"":-0.4634941205401603,""historical_core_log_score"":0.0,""library_definition_cost"":8.0,""likelihood_terms"":4992.0,""original_production_primitives"":108.0,""prediction_terms"":4864.0,""probe_production_primitives"":18.0,""query_count"":4.0,""rejected_works"":9.0,""retained_works"":3.0,""topology_entropy"":1.3194006947040997,""topology_log_score"":-1.2650152973855282,""training_primitives"":56.0}",boundary-expansion-1/M04
"{""access_arms"":""artifact-only and four paid probe policies; all/direct-all receive identical requested observations with the same prices"",""history_access"":""producer/revision views describe the same first retained work; shared raw-style evidence is counted once""}",producer-view,M04,learned-order-self-selector-False-brief-False,"{""family"":""learned-order"",""id"":""learned-order-self-selector-False-brief-False"",""revision"":""self"",""selector"":false,""shared_brief"":false}",1024,"{""compatible_topologies"":8.220703125,""entropy_terms"":8.220703125,""future_brief_log_score"":-0.5417960993919877,""future_producer_core_log_score"":-0.551650447662364,""future_producer_style_log_score"":-0.4786442470153054,""future_production_primitives"":59.0,""future_release_log_score"":-0.4436073658003724,""future_revision_log_score"":-0.921691504202553,""historical_core_log_score"":0.0,""library_definition_cost"":8.0,""likelihood_terms"":3072.0,""original_production_primitives"":108.0,""prediction_terms"":4864.0,""probe_production_primitives"":0.0,""query_count"":1.0,""rejected_works"":9.0,""retained_works"":3.0,""topology_entropy"":1.9539327116101426,""topology_log_score"":-2.266571482835625,""training_primitives"":56.0}",boundary-expansion-1/M04
"{""access_arms"":""artifact-only and four paid probe policies; all/direct-all receive identical requested observations with the same prices"",""history_access"":""producer/revision views describe the same first retained work; shared raw-style evidence is counted once""}",revision-view,M04,learned-order-self-selector-False-brief-False,"{""family"":""learned-order"",""id"":""learned-order-self-selector-False-brief-False"",""revision"":""self"",""selector"":false,""shared_brief"":false}",1024,"{""compatible_topologies"":5.97265625,""entropy_terms"":5.97265625,""future_brief_log_score"":-0.5417960993919877,""future_producer_core_log_score"":-0.6931471805599453,""future_producer_style_log_score"":-0.4778304661696642,""future_production_primitives"":59.0,""future_release_log_score"":-0.4414196765376609,""future_revision_log_score"":-0.47872681565493863,""historical_core_log_score"":-0.6931471805599453,""library_definition_cost"":8.0,""likelihood_terms"":3072.0,""original_production_primitives"":108.0,""prediction_terms"":4864.0,""probe_production_primitives"":0.0,""query_count"":1.0,""rejected_works"":9.0,""retained_works"":3.0,""topology_entropy"":1.658550281885318,""topology_log_score"":-1.823606794288011,""training_primitives"":56.0}",boundary-expansion-1/M04
"{""access_arms"":""artifact-only and four paid probe policies; all/direct-all receive identical requested observations with the same prices"",""history_access"":""producer/revision views describe the same first retained work; shared raw-style evidence is counted once""}",unselected-view,M04,learned-order-self-selector-False-brief-False,"{""family"":""learned-order"",""id"":""learned-order-self-selector-False-brief-False"",""revision"":""self"",""selector"":false,""shared_brief"":false}",1024,"{""compatible_topologies"":8.958984375,""entropy_terms"":8.958984375,""future_brief_log_score"":-0.5417960993919877,""future_producer_core_log_score"":-0.6931471805599453,""future_producer_style_log_score"":-0.48013746723517325,""future_production_primitives"":59.0,""future_release_log_score"":-0.4378454588634519,""future_revision_log_score"":-0.8875582577849901,""historical_core_log_score"":-0.6931471805599453,""library_definition_cost"":8.0,""likelihood_terms"":3072.0,""original_production_primitives"":108.0,""prediction_terms"":4864.0,""probe_production_primitives"":9.0,""query_count"":1.0,""rejected_works"":9.0,""retained_works"":3.0,""topology_entropy"":2.088678305973148,""topology_log_score"":-2.314489658606541,""training_primitives"":56.0}",boundary-expansion-1/M04
"{""access_arms"":""artifact-only and four paid probe policies; all/direct-all receive identical requested observations with the same prices"",""history_access"":""producer/revision views describe the same first retained work; shared raw-style evidence is counted once""}",all,M04,learned-order-self-selector-False-brief-True,"{""family"":""learned-order"",""id"":""learned-order-self-selector-False-brief-True"",""revision"":""self"",""selector"":false,""shared_brief"":true}",1024,"{""compatible_topologies"":4.0,""entropy_terms"":4.0,""future_brief_log_score"":-6.028164079019427e-17,""future_producer_core_log_score"":-0.5516504476623639,""future_producer_style_log_score"":-0.4674297230149085,""future_production_primitives"":59.0,""future_release_log_score"":-0.4291802704662895,""future_revision_log_score"":-0.4634941205401603,""historical_core_log_score"":0.0,""library_definition_cost"":8.0,""likelihood_terms"":4992.0,""original_production_primitives"":108.0,""prediction_terms"":4864.0,""probe_production_primitives"":18.0,""query_count"":4.0,""rejected_works"":9.0,""retained_works"":3.0,""topology_entropy"":1.3194006947040997,""topology_log_score"":-1.2650152973855282,""training_primitives"":56.0}",boundary-expansion-1/M04
"{""access_arms"":""artifact-only and four paid probe policies; all/direct-all receive identical requested observations with the same prices"",""history_access"":""producer/revision views describe the same first retained work; shared raw-style evidence is counted once""}",artifact-only,M04,learned-order-self-selector-False-brief-True,"{""family"":""learned-order"",""id"":""learned-order-self-selector-False-brief-True"",""revision"":""self"",""selector"":false,""shared_brief"":true}",1024,"{""compatible_topologies"":12.0,""entropy_terms"":12.0,""future_brief_log_score"":-0.4054651081081645,""future_producer_core_log_score"":-0.6931471805599454,""future_producer_style_log_score"":-0.5023606306122971,""future_production_primitives"":59.0,""future_release_log_score"":-0.45119402431954525,""future_revision_log_score"":-0.9069357373702417,""historical_core_log_score"":-0.6931471805599454,""library_definition_cost"":8.0,""likelihood_terms"":2304.0,""original_production_primitives"":108.0,""prediction_terms"":4864.0,""probe_production_primitives"":0.0,""query_count"":0.0,""rejected_works"":9.0,""retained_works"":3.0,""topology_entropy"":2.422689155078526,""topology_log_score"":-2.186724692583536,""training_primitives"":56.0}",boundary-expansion-1/M04
"{""access_arms"":""artifact-only and four paid probe policies; all/direct-all receive identical requested observations with the same prices"",""history_access"":""producer/revision views describe the same first retained work; shared raw-style evidence is counted once""}",brief-flip,M04,learned-order-self-selector-False-brief-True,"{""family"":""learned-order"",""id"":""learned-order-self-selector-False-brief-True"",""revision"":""self"",""selector"":false,""shared_brief"":true}",1024,"{""compatible_topologies"":6.0,""entropy_terms"":6.0,""future_brief_log_score"":-2.648705907382096e-16,""future_producer_core_log_score"":-0.6931471805599453,""future_producer_style_log_score"":-0.48075241783777584,""future_production_primitives"":59.0,""future_release_log_score"":-0.4433269540886376,""future_revision_log_score"":-0.8989721039475534,""historical_core_log_score"":-0.6931471805599453,""library_definition_cost"":8.0,""likelihood_terms"":3072.0,""original_production_primitives"":108.0,""prediction_terms"":4864.0,""probe_production_primitives"":9.0,""query_count"":1.0,""rejected_works"":9.0,""retained_works"":3.0,""topology_entropy"":1.774986444549138,""topology_log_score"":-1.7665042498972137,""training_primitives"":56.0}",boundary-expansion-1/M04
"{""access_arms"":""artifact-only and four paid probe policies; all/direct-all receive identical requested observations with the same prices"",""history_access"":""producer/revision views describe the same first retained work; shared raw-style evidence is counted once""}",direct-all,M04,learned-order-self-selector-False-brief-True,"{""family"":""learned-order"",""id"":""learned-order-self-selector-False-brief-True"",""revision"":""self"",""selector"":false,""shared_brief"":true}",1024,"{""compatible_topologies"":4.0,""entropy_terms"":4.0,""future_brief_log_score"":6.505213034909684e-19,""future_producer_core_log_score"":-0.5516504476623638,""future_producer_style_log_score"":-0.4674297230149084,""future_production_primitives"":59.0,""future_release_log_score"":-0.4291802704662894,""future_revision_log_score"":-0.46349412054016026,""historical_core_log_score"":0.0,""library_definition_cost"":8.0,""likelihood_terms"":4992.0,""original_production_primitives"":108.0,""prediction_terms"":4864.0,""probe_production_primitives"":18.0,""query_count"":4.0,""rejected_works"":9.0,""retained_works"":3.0,""topology_entropy"":1.3194006947040997,""topology_log_score"":-1.2650152973855282,""training_primitives"":56.0}",boundary-expansion-1/M04
"{""access_arms"":""artifact-only and four paid probe policies; all/direct-all receive identical requested observations with the same prices"",""history_access"":""producer/revision views describe the same first retained work; shared raw-style evidence is counted once""}",producer-view,M04,learned-order-self-selector-False-brief-True,"{""family"":""learned-order"",""id"":""learned-order-self-selector-False-brief-True"",""revision"":""self"",""selector"":false,""shared_brief"":true}",1024,"{""compatible_topologies"":11.0234375,""entropy_terms"":11.0234375,""future_brief_log_score"":-0.40546510810816433,""future_producer_core_log_score"":-0.551650447662364,""future_producer_style_log_score"":-0.47864424701530534,""future_production_primitives"":59.0,""future_release_log_score"":-0.4436073658003724,""future_revision_log_score"":-0.921691504202553,""historical_core_log_score"":0.0,""library_definition_cost"":8.0,""likelihood_terms"":3072.0,""original_production_primitives"":108.0,""prediction_terms"":4864.0,""probe_production_primitives"":0.0,""query_count"":1.0,""rejected_works"":9.0,""retained_works"":3.0,""topology_entropy"":2.276540966829877,""topology_log_score"":-2.130240491551802,""training_primitives"":56.0}",boundary-expansion-1/M04
"{""access_arms"":""artifact-only and four paid probe policies; all/direct-all receive identical requested observations with the same prices"",""history_access"":""producer/revision views describe the same first retained work; shared raw-style evidence is counted once""}",revision-view,M04,learned-order-self-selector-False-brief-True,"{""family"":""learned-order"",""id"":""learned-order-self-selector-False-brief-True"",""revision"":""self"",""selector"":false,""shared_brief"":true}",1024,"{""compatible_topologies"":8.0,""entropy_terms"":8.0,""future_brief_log_score"":-0.40546510810816444,""future_producer_core_log_score"":-0.6931471805599454,""future_producer_style_log_score"":-0.4778304661696642,""future_production_primitives"":59.0,""future_release_log_score"":-0.4414196765376609,""future_revision_log_score"":-0.4787268156549386,""historical_core_log_score"":-0.6931471805599454,""library_definition_cost"":8.0,""likelihood_terms"":3072.0,""original_production_primitives"":108.0,""prediction_terms"":4864.0,""probe_production_primitives"":0.0,""query_count"":1.0,""rejected_works"":9.0,""retained_works"":3.0,""topology_entropy"":1.9811585371050522,""topology_log_score"":-1.6872758030041877,""training_primitives"":56.0}",boundary-expansion-1/M04
