access_contract,bootstrap,card_id,condition,condition_factors,criterion_state,estimand,evidence_scope,interval_95,mean,n_constructors,n_makers,paired_standard_deviation,source
"{""access_arms"":""paired audience/rehearsal information interventions with identical opportunities and explicit prices; direct-both and both have identical information""}","{""method"":""constructors then makers, empirical percentile"",""quantile"":""floor(p*(B-1))"",""replicates"":1999,""seed"":771}",M03,learned-order-random-n-1,"{""count"":1,""family"":""learned-order"",""id"":""learned-order-random-n-1"",""retention"":""random""}",held,"{""aggregation"":""equal maker mean of paired task-packet differences"",""arm"":""both"",""denominator"":""all independent maker task packets, including failures"",""id"":""M03-both-minus-rehearsal-only-audience_success"",""interval_target"":""same mean; constructors then makers within constructor"",""numerator"":""both minus rehearsal-only: audience_success"",""practical_bar"":0.05,""rival"":""rehearsal-only"",""target"":""audience_success"",""units"":""success_fraction""}",discovery final boundary expansion,"[0.4462890625,0.525390625]",0.486328125,128,1024,0.5000572731127524,boundary-expansion-1/M03
"{""access_arms"":""paired audience/rehearsal information interventions with identical opportunities and explicit prices; direct-both and both have identical information""}","{""method"":""constructors then makers, empirical percentile"",""quantile"":""floor(p*(B-1))"",""replicates"":1999,""seed"":771}",M03,learned-order-random-n-1,"{""count"":1,""family"":""learned-order"",""id"":""learned-order-random-n-1"",""retention"":""random""}",held,"{""aggregation"":""equal maker mean of paired task-packet differences"",""arm"":""both"",""denominator"":""all independent maker task packets, including failures"",""id"":""M03-both-minus-audience-only-historical_core_log_score"",""interval_target"":""same mean; constructors then makers within constructor"",""numerator"":""both minus audience-only: historical_core_log_score"",""practical_bar"":0.02,""rival"":""audience-only"",""target"":""historical_core_log_score"",""units"":""nats_per_event""}",discovery final boundary expansion,"[0.20304827924711,0.29473860406483454]",0.24934046190590264,128,1024,0.5153836083483754,boundary-expansion-1/M03
"{""access_arms"":""paired audience/rehearsal information interventions with identical opportunities and explicit prices; direct-both and both have identical information""}","{""method"":""constructors then makers, empirical percentile"",""quantile"":""floor(p*(B-1))"",""replicates"":1999,""seed"":771}",M03,learned-order-random-n-1,"{""count"":1,""family"":""learned-order"",""id"":""learned-order-random-n-1"",""retention"":""random""}",failed,"{""aggregation"":""equal maker mean of paired task-packet differences"",""arm"":""both"",""denominator"":""all independent maker task packets, including failures"",""id"":""M03-both-minus-direct-both-audience_success"",""interval_target"":""same mean; constructors then makers within constructor"",""numerator"":""both minus direct-both: audience_success"",""practical_bar"":0.05,""rival"":""direct-both"",""target"":""audience_success"",""units"":""success_fraction""}",discovery final boundary expansion,"[0.0,0.0]",0.0,128,1024,0.0,boundary-expansion-1/M03
"{""access_arms"":""paired audience/rehearsal information interventions with identical opportunities and explicit prices; direct-both and both have identical information""}","{""method"":""constructors then makers, empirical percentile"",""quantile"":""floor(p*(B-1))"",""replicates"":1999,""seed"":771}",M03,learned-order-random-n-1,"{""count"":1,""family"":""learned-order"",""id"":""learned-order-random-n-1"",""retention"":""random""}",failed,"{""aggregation"":""equal maker mean of paired task-packet differences"",""arm"":""audience-only"",""denominator"":""all independent maker task packets, including failures"",""id"":""M03-audience-only-minus-none-historical_core_log_score"",""interval_target"":""same mean; constructors then makers within constructor"",""numerator"":""audience-only minus none: historical_core_log_score"",""practical_bar"":0.02,""rival"":""none"",""target"":""historical_core_log_score"",""units"":""nats_per_event""}",discovery final boundary expansion,"[-4.553649124439119e-18,1.485356976305141e-17]",4.87890977618477e-18,128,1024,9.058434133696316e-17,boundary-expansion-1/M03
"{""access_arms"":""paired audience/rehearsal information interventions with identical opportunities and explicit prices; direct-both and both have identical information""}","{""method"":""constructors then makers, empirical percentile"",""quantile"":""floor(p*(B-1))"",""replicates"":1999,""seed"":771}",M03,learned-order-random-n-4,"{""count"":4,""family"":""learned-order"",""id"":""learned-order-random-n-4"",""retention"":""random""}",held,"{""aggregation"":""equal maker mean of paired task-packet differences"",""arm"":""both"",""denominator"":""all independent maker task packets, including failures"",""id"":""M03-both-minus-rehearsal-only-audience_success"",""interval_target"":""same mean; constructors then makers within constructor"",""numerator"":""both minus rehearsal-only: audience_success"",""practical_bar"":0.05,""rival"":""rehearsal-only"",""target"":""audience_success"",""units"":""success_fraction""}",discovery final boundary expansion,"[0.4462890625,0.525390625]",0.486328125,128,1024,0.5000572731127524,boundary-expansion-1/M03
"{""access_arms"":""paired audience/rehearsal information interventions with identical opportunities and explicit prices; direct-both and both have identical information""}","{""method"":""constructors then makers, empirical percentile"",""quantile"":""floor(p*(B-1))"",""replicates"":1999,""seed"":771}",M03,learned-order-random-n-4,"{""count"":4,""family"":""learned-order"",""id"":""learned-order-random-n-4"",""retention"":""random""}",held,"{""aggregation"":""equal maker mean of paired task-packet differences"",""arm"":""both"",""denominator"":""all independent maker task packets, including failures"",""id"":""M03-both-minus-audience-only-historical_core_log_score"",""interval_target"":""same mean; constructors then makers within constructor"",""numerator"":""both minus audience-only: historical_core_log_score"",""practical_bar"":0.02,""rival"":""audience-only"",""target"":""historical_core_log_score"",""units"":""nats_per_event""}",discovery final boundary expansion,"[0.18780586604224497,0.2817538663635233]",0.23551471500752946,128,1024,0.5271160799092607,boundary-expansion-1/M03
"{""access_arms"":""paired audience/rehearsal information interventions with identical opportunities and explicit prices; direct-both and both have identical information""}","{""method"":""constructors then makers, empirical percentile"",""quantile"":""floor(p*(B-1))"",""replicates"":1999,""seed"":771}",M03,learned-order-random-n-4,"{""count"":4,""family"":""learned-order"",""id"":""learned-order-random-n-4"",""retention"":""random""}",failed,"{""aggregation"":""equal maker mean of paired task-packet differences"",""arm"":""both"",""denominator"":""all independent maker task packets, including failures"",""id"":""M03-both-minus-direct-both-audience_success"",""interval_target"":""same mean; constructors then makers within constructor"",""numerator"":""both minus direct-both: audience_success"",""practical_bar"":0.05,""rival"":""direct-both"",""target"":""audience_success"",""units"":""success_fraction""}",discovery final boundary expansion,"[0.0,0.0]",0.0,128,1024,0.0,boundary-expansion-1/M03
"{""access_arms"":""paired audience/rehearsal information interventions with identical opportunities and explicit prices; direct-both and both have identical information""}","{""method"":""constructors then makers, empirical percentile"",""quantile"":""floor(p*(B-1))"",""replicates"":1999,""seed"":771}",M03,learned-order-random-n-4,"{""count"":4,""family"":""learned-order"",""id"":""learned-order-random-n-4"",""retention"":""random""}",failed,"{""aggregation"":""equal maker mean of paired task-packet differences"",""arm"":""audience-only"",""denominator"":""all independent maker task packets, including failures"",""id"":""M03-audience-only-minus-none-historical_core_log_score"",""interval_target"":""same mean; constructors then makers within constructor"",""numerator"":""audience-only minus none: historical_core_log_score"",""practical_bar"":0.02,""rival"":""none"",""target"":""historical_core_log_score"",""units"":""nats_per_event""}",discovery final boundary expansion,"[-6.179952383167375e-18,1.3444106938820255e-17]",3.469446951953614e-18,128,1024,8.937770053490443e-17,boundary-expansion-1/M03
"{""access_arms"":""paired audience/rehearsal information interventions with identical opportunities and explicit prices; direct-both and both have identical information""}","{""method"":""constructors then makers, empirical percentile"",""quantile"":""floor(p*(B-1))"",""replicates"":1999,""seed"":771}",M03,learned-order-selected-n-1,"{""count"":1,""family"":""learned-order"",""id"":""learned-order-selected-n-1"",""retention"":""selected""}",held,"{""aggregation"":""equal maker mean of paired task-packet differences"",""arm"":""both"",""denominator"":""all independent maker task packets, including failures"",""id"":""M03-both-minus-rehearsal-only-audience_success"",""interval_target"":""same mean; constructors then makers within constructor"",""numerator"":""both minus rehearsal-only: audience_success"",""practical_bar"":0.05,""rival"":""rehearsal-only"",""target"":""audience_success"",""units"":""success_fraction""}",discovery final boundary expansion,"[0.4462890625,0.525390625]",0.486328125,128,1024,0.5000572731127524,boundary-expansion-1/M03
"{""access_arms"":""paired audience/rehearsal information interventions with identical opportunities and explicit prices; direct-both and both have identical information""}","{""method"":""constructors then makers, empirical percentile"",""quantile"":""floor(p*(B-1))"",""replicates"":1999,""seed"":771}",M03,learned-order-selected-n-1,"{""count"":1,""family"":""learned-order"",""id"":""learned-order-selected-n-1"",""retention"":""selected""}",held,"{""aggregation"":""equal maker mean of paired task-packet differences"",""arm"":""both"",""denominator"":""all independent maker task packets, including failures"",""id"":""M03-both-minus-audience-only-historical_core_log_score"",""interval_target"":""same mean; constructors then makers within constructor"",""numerator"":""both minus audience-only: historical_core_log_score"",""practical_bar"":0.02,""rival"":""audience-only"",""target"":""historical_core_log_score"",""units"":""nats_per_event""}",discovery final boundary expansion,"[0.20304827924711,0.29473860406483454]",0.24934046190590264,128,1024,0.5153836083483754,boundary-expansion-1/M03
"{""access_arms"":""paired audience/rehearsal information interventions with identical opportunities and explicit prices; direct-both and both have identical information""}","{""method"":""constructors then makers, empirical percentile"",""quantile"":""floor(p*(B-1))"",""replicates"":1999,""seed"":771}",M03,learned-order-selected-n-1,"{""count"":1,""family"":""learned-order"",""id"":""learned-order-selected-n-1"",""retention"":""selected""}",failed,"{""aggregation"":""equal maker mean of paired task-packet differences"",""arm"":""both"",""denominator"":""all independent maker task packets, including failures"",""id"":""M03-both-minus-direct-both-audience_success"",""interval_target"":""same mean; constructors then makers within constructor"",""numerator"":""both minus direct-both: audience_success"",""practical_bar"":0.05,""rival"":""direct-both"",""target"":""audience_success"",""units"":""success_fraction""}",discovery final boundary expansion,"[0.0,0.0]",0.0,128,1024,0.0,boundary-expansion-1/M03
"{""access_arms"":""paired audience/rehearsal information interventions with identical opportunities and explicit prices; direct-both and both have identical information""}","{""method"":""constructors then makers, empirical percentile"",""quantile"":""floor(p*(B-1))"",""replicates"":1999,""seed"":771}",M03,learned-order-selected-n-1,"{""count"":1,""family"":""learned-order"",""id"":""learned-order-selected-n-1"",""retention"":""selected""}",failed,"{""aggregation"":""equal maker mean of paired task-packet differences"",""arm"":""audience-only"",""denominator"":""all independent maker task packets, including failures"",""id"":""M03-audience-only-minus-none-historical_core_log_score"",""interval_target"":""same mean; constructors then makers within constructor"",""numerator"":""audience-only minus none: historical_core_log_score"",""practical_bar"":0.02,""rival"":""none"",""target"":""historical_core_log_score"",""units"":""nats_per_event""}",discovery final boundary expansion,"[-4.553649124439119e-18,1.485356976305141e-17]",4.87890977618477e-18,128,1024,9.058434133696316e-17,boundary-expansion-1/M03
"{""access_arms"":""paired audience/rehearsal information interventions with identical opportunities and explicit prices; direct-both and both have identical information""}","{""method"":""constructors then makers, empirical percentile"",""quantile"":""floor(p*(B-1))"",""replicates"":1999,""seed"":771}",M03,learned-order-selected-n-4,"{""count"":4,""family"":""learned-order"",""id"":""learned-order-selected-n-4"",""retention"":""selected""}",held,"{""aggregation"":""equal maker mean of paired task-packet differences"",""arm"":""both"",""denominator"":""all independent maker task packets, including failures"",""id"":""M03-both-minus-rehearsal-only-audience_success"",""interval_target"":""same mean; constructors then makers within constructor"",""numerator"":""both minus rehearsal-only: audience_success"",""practical_bar"":0.05,""rival"":""rehearsal-only"",""target"":""audience_success"",""units"":""success_fraction""}",discovery final boundary expansion,"[0.109375,0.1650390625]",0.1357421875,128,1024,0.3426819584835011,boundary-expansion-1/M03
"{""access_arms"":""paired audience/rehearsal information interventions with identical opportunities and explicit prices; direct-both and both have identical information""}","{""method"":""constructors then makers, empirical percentile"",""quantile"":""floor(p*(B-1))"",""replicates"":1999,""seed"":771}",M03,learned-order-selected-n-4,"{""count"":4,""family"":""learned-order"",""id"":""learned-order-selected-n-4"",""retention"":""selected""}",held,"{""aggregation"":""equal maker mean of paired task-packet differences"",""arm"":""both"",""denominator"":""all independent maker task packets, including failures"",""id"":""M03-both-minus-audience-only-historical_core_log_score"",""interval_target"":""same mean; constructors then makers within constructor"",""numerator"":""both minus audience-only: historical_core_log_score"",""practical_bar"":0.02,""rival"":""audience-only"",""target"":""historical_core_log_score"",""units"":""nats_per_event""}",discovery final boundary expansion,"[0.20120961674025856,0.29500414602397945]",0.24888479413744316,128,1024,0.5156182121891628,boundary-expansion-1/M03
"{""access_arms"":""paired audience/rehearsal information interventions with identical opportunities and explicit prices; direct-both and both have identical information""}","{""method"":""constructors then makers, empirical percentile"",""quantile"":""floor(p*(B-1))"",""replicates"":1999,""seed"":771}",M03,learned-order-selected-n-4,"{""count"":4,""family"":""learned-order"",""id"":""learned-order-selected-n-4"",""retention"":""selected""}",failed,"{""aggregation"":""equal maker mean of paired task-packet differences"",""arm"":""both"",""denominator"":""all independent maker task packets, including failures"",""id"":""M03-both-minus-direct-both-audience_success"",""interval_target"":""same mean; constructors then makers within constructor"",""numerator"":""both minus direct-both: audience_success"",""practical_bar"":0.05,""rival"":""direct-both"",""target"":""audience_success"",""units"":""success_fraction""}",discovery final boundary expansion,"[0.0,0.0]",0.0,128,1024,0.0,boundary-expansion-1/M03
"{""access_arms"":""paired audience/rehearsal information interventions with identical opportunities and explicit prices; direct-both and both have identical information""}","{""method"":""constructors then makers, empirical percentile"",""quantile"":""floor(p*(B-1))"",""replicates"":1999,""seed"":771}",M03,learned-order-selected-n-4,"{""count"":4,""family"":""learned-order"",""id"":""learned-order-selected-n-4"",""retention"":""selected""}",failed,"{""aggregation"":""equal maker mean of paired task-packet differences"",""arm"":""audience-only"",""denominator"":""all independent maker task packets, including failures"",""id"":""M03-audience-only-minus-none-historical_core_log_score"",""interval_target"":""same mean; constructors then makers within constructor"",""numerator"":""audience-only minus none: historical_core_log_score"",""practical_bar"":0.02,""rival"":""none"",""target"":""historical_core_log_score"",""units"":""nats_per_event""}",discovery final boundary expansion,"[-1.0408340855860843e-17,1.734723475976807e-17]",3.577867169202165e-18,128,1024,1.2281843742771628e-16,boundary-expansion-1/M03
"{""access_arms"":""paired audience/rehearsal information interventions with identical opportunities and explicit prices; direct-both and both have identical information""}","{""method"":""constructors then makers, empirical percentile"",""quantile"":""floor(p*(B-1))"",""replicates"":1999,""seed"":771}",M03,goal-indifferent-random-n-1,"{""count"":1,""family"":""goal-indifferent"",""id"":""goal-indifferent-random-n-1"",""retention"":""random""}",held,"{""aggregation"":""equal maker mean of paired task-packet differences"",""arm"":""both"",""denominator"":""all independent maker task packets, including failures"",""id"":""M03-both-minus-rehearsal-only-audience_success"",""interval_target"":""same mean; constructors then makers within constructor"",""numerator"":""both minus rehearsal-only: audience_success"",""practical_bar"":0.05,""rival"":""rehearsal-only"",""target"":""audience_success"",""units"":""success_fraction""}",discovery final boundary expansion,"[0.4462890625,0.525390625]",0.486328125,128,1024,0.5000572731127524,boundary-expansion-1/M03
"{""access_arms"":""paired audience/rehearsal information interventions with identical opportunities and explicit prices; direct-both and both have identical information""}","{""method"":""constructors then makers, empirical percentile"",""quantile"":""floor(p*(B-1))"",""replicates"":1999,""seed"":771}",M03,goal-indifferent-random-n-1,"{""count"":1,""family"":""goal-indifferent"",""id"":""goal-indifferent-random-n-1"",""retention"":""random""}",failed,"{""aggregation"":""equal maker mean of paired task-packet differences"",""arm"":""both"",""denominator"":""all independent maker task packets, including failures"",""id"":""M03-both-minus-audience-only-historical_core_log_score"",""interval_target"":""same mean; constructors then makers within constructor"",""numerator"":""both minus audience-only: historical_core_log_score"",""practical_bar"":0.02,""rival"":""audience-only"",""target"":""historical_core_log_score"",""units"":""nats_per_event""}",discovery final boundary expansion,"[-8.456776945386935e-18,1.1600963245594897e-17]",1.5178830414797062e-18,128,1024,8.543584670602239e-17,boundary-expansion-1/M03
"{""access_arms"":""paired audience/rehearsal information interventions with identical opportunities and explicit prices; direct-both and both have identical information""}","{""method"":""constructors then makers, empirical percentile"",""quantile"":""floor(p*(B-1))"",""replicates"":1999,""seed"":771}",M03,goal-indifferent-random-n-1,"{""count"":1,""family"":""goal-indifferent"",""id"":""goal-indifferent-random-n-1"",""retention"":""random""}",failed,"{""aggregation"":""equal maker mean of paired task-packet differences"",""arm"":""both"",""denominator"":""all independent maker task packets, including failures"",""id"":""M03-both-minus-direct-both-audience_success"",""interval_target"":""same mean; constructors then makers within constructor"",""numerator"":""both minus direct-both: audience_success"",""practical_bar"":0.05,""rival"":""direct-both"",""target"":""audience_success"",""units"":""success_fraction""}",discovery final boundary expansion,"[0.0,0.0]",0.0,128,1024,0.0,boundary-expansion-1/M03
"{""access_arms"":""paired audience/rehearsal information interventions with identical opportunities and explicit prices; direct-both and both have identical information""}","{""method"":""constructors then makers, empirical percentile"",""quantile"":""floor(p*(B-1))"",""replicates"":1999,""seed"":771}",M03,goal-indifferent-random-n-1,"{""count"":1,""family"":""goal-indifferent"",""id"":""goal-indifferent-random-n-1"",""retention"":""random""}",failed,"{""aggregation"":""equal maker mean of paired task-packet differences"",""arm"":""audience-only"",""denominator"":""all independent maker task packets, including failures"",""id"":""M03-audience-only-minus-none-historical_core_log_score"",""interval_target"":""same mean; constructors then makers within constructor"",""numerator"":""audience-only minus none: historical_core_log_score"",""practical_bar"":0.02,""rival"":""none"",""target"":""historical_core_log_score"",""units"":""nats_per_event""}",discovery final boundary expansion,"[-1.0950441942103595e-17,9.432558900623889e-18]",-7.589415207398531e-19,128,1024,7.30551470369049e-17,boundary-expansion-1/M03
"{""access_arms"":""paired audience/rehearsal information interventions with identical opportunities and explicit prices; direct-both and both have identical information""}","{""method"":""constructors then makers, empirical percentile"",""quantile"":""floor(p*(B-1))"",""replicates"":1999,""seed"":771}",M03,goal-indifferent-random-n-4,"{""count"":4,""family"":""goal-indifferent"",""id"":""goal-indifferent-random-n-4"",""retention"":""random""}",held,"{""aggregation"":""equal maker mean of paired task-packet differences"",""arm"":""both"",""denominator"":""all independent maker task packets, including failures"",""id"":""M03-both-minus-rehearsal-only-audience_success"",""interval_target"":""same mean; constructors then makers within constructor"",""numerator"":""both minus rehearsal-only: audience_success"",""practical_bar"":0.05,""rival"":""rehearsal-only"",""target"":""audience_success"",""units"":""success_fraction""}",discovery final boundary expansion,"[0.4462890625,0.525390625]",0.486328125,128,1024,0.5000572731127524,boundary-expansion-1/M03
"{""access_arms"":""paired audience/rehearsal information interventions with identical opportunities and explicit prices; direct-both and both have identical information""}","{""method"":""constructors then makers, empirical percentile"",""quantile"":""floor(p*(B-1))"",""replicates"":1999,""seed"":771}",M03,goal-indifferent-random-n-4,"{""count"":4,""family"":""goal-indifferent"",""id"":""goal-indifferent-random-n-4"",""retention"":""random""}",failed,"{""aggregation"":""equal maker mean of paired task-packet differences"",""arm"":""both"",""denominator"":""all independent maker task packets, including failures"",""id"":""M03-both-minus-audience-only-historical_core_log_score"",""interval_target"":""same mean; constructors then makers within constructor"",""numerator"":""both minus audience-only: historical_core_log_score"",""practical_bar"":0.02,""rival"":""audience-only"",""target"":""historical_core_log_score"",""units"":""nats_per_event""}",discovery final boundary expansion,"[-1.1600963245594897e-17,7.697835424647081e-18]",-2.0599841277224584e-18,128,1024,8.393042976429435e-17,boundary-expansion-1/M03
"{""access_arms"":""paired audience/rehearsal information interventions with identical opportunities and explicit prices; direct-both and both have identical information""}","{""method"":""constructors then makers, empirical percentile"",""quantile"":""floor(p*(B-1))"",""replicates"":1999,""seed"":771}",M03,goal-indifferent-random-n-4,"{""count"":4,""family"":""goal-indifferent"",""id"":""goal-indifferent-random-n-4"",""retention"":""random""}",failed,"{""aggregation"":""equal maker mean of paired task-packet differences"",""arm"":""both"",""denominator"":""all independent maker task packets, including failures"",""id"":""M03-both-minus-direct-both-audience_success"",""interval_target"":""same mean; constructors then makers within constructor"",""numerator"":""both minus direct-both: audience_success"",""practical_bar"":0.05,""rival"":""direct-both"",""target"":""audience_success"",""units"":""success_fraction""}",discovery final boundary expansion,"[0.0,0.0]",0.0,128,1024,0.0,boundary-expansion-1/M03
"{""access_arms"":""paired audience/rehearsal information interventions with identical opportunities and explicit prices; direct-both and both have identical information""}","{""method"":""constructors then makers, empirical percentile"",""quantile"":""floor(p*(B-1))"",""replicates"":1999,""seed"":771}",M03,goal-indifferent-random-n-4,"{""count"":4,""family"":""goal-indifferent"",""id"":""goal-indifferent-random-n-4"",""retention"":""random""}",failed,"{""aggregation"":""equal maker mean of paired task-packet differences"",""arm"":""audience-only"",""denominator"":""all independent maker task packets, including failures"",""id"":""M03-audience-only-minus-none-historical_core_log_score"",""interval_target"":""same mean; constructors then makers within constructor"",""numerator"":""audience-only minus none: historical_core_log_score"",""practical_bar"":0.02,""rival"":""none"",""target"":""historical_core_log_score"",""units"":""nats_per_event""}",discovery final boundary expansion,"[-1.1709383462843448e-17,9.107298248878237e-18]",-1.0842021724855044e-18,128,1024,7.443980458338989e-17,boundary-expansion-1/M03
"{""access_arms"":""paired audience/rehearsal information interventions with identical opportunities and explicit prices; direct-both and both have identical information""}","{""method"":""constructors then makers, empirical percentile"",""quantile"":""floor(p*(B-1))"",""replicates"":1999,""seed"":771}",M03,goal-indifferent-selected-n-1,"{""count"":1,""family"":""goal-indifferent"",""id"":""goal-indifferent-selected-n-1"",""retention"":""selected""}",held,"{""aggregation"":""equal maker mean of paired task-packet differences"",""arm"":""both"",""denominator"":""all independent maker task packets, including failures"",""id"":""M03-both-minus-rehearsal-only-audience_success"",""interval_target"":""same mean; constructors then makers within constructor"",""numerator"":""both minus rehearsal-only: audience_success"",""practical_bar"":0.05,""rival"":""rehearsal-only"",""target"":""audience_success"",""units"":""success_fraction""}",discovery final boundary expansion,"[0.4462890625,0.525390625]",0.486328125,128,1024,0.5000572731127524,boundary-expansion-1/M03
"{""access_arms"":""paired audience/rehearsal information interventions with identical opportunities and explicit prices; direct-both and both have identical information""}","{""method"":""constructors then makers, empirical percentile"",""quantile"":""floor(p*(B-1))"",""replicates"":1999,""seed"":771}",M03,goal-indifferent-selected-n-1,"{""count"":1,""family"":""goal-indifferent"",""id"":""goal-indifferent-selected-n-1"",""retention"":""selected""}",failed,"{""aggregation"":""equal maker mean of paired task-packet differences"",""arm"":""both"",""denominator"":""all independent maker task packets, including failures"",""id"":""M03-both-minus-audience-only-historical_core_log_score"",""interval_target"":""same mean; constructors then makers within constructor"",""numerator"":""both minus audience-only: historical_core_log_score"",""practical_bar"":0.02,""rival"":""audience-only"",""target"":""historical_core_log_score"",""units"":""nats_per_event""}",discovery final boundary expansion,"[-8.456776945386935e-18,1.1600963245594897e-17]",1.5178830414797062e-18,128,1024,8.543584670602239e-17,boundary-expansion-1/M03
"{""access_arms"":""paired audience/rehearsal information interventions with identical opportunities and explicit prices; direct-both and both have identical information""}","{""method"":""constructors then makers, empirical percentile"",""quantile"":""floor(p*(B-1))"",""replicates"":1999,""seed"":771}",M03,goal-indifferent-selected-n-1,"{""count"":1,""family"":""goal-indifferent"",""id"":""goal-indifferent-selected-n-1"",""retention"":""selected""}",failed,"{""aggregation"":""equal maker mean of paired task-packet differences"",""arm"":""both"",""denominator"":""all independent maker task packets, including failures"",""id"":""M03-both-minus-direct-both-audience_success"",""interval_target"":""same mean; constructors then makers within constructor"",""numerator"":""both minus direct-both: audience_success"",""practical_bar"":0.05,""rival"":""direct-both"",""target"":""audience_success"",""units"":""success_fraction""}",discovery final boundary expansion,"[0.0,0.0]",0.0,128,1024,0.0,boundary-expansion-1/M03
"{""access_arms"":""paired audience/rehearsal information interventions with identical opportunities and explicit prices; direct-both and both have identical information""}","{""method"":""constructors then makers, empirical percentile"",""quantile"":""floor(p*(B-1))"",""replicates"":1999,""seed"":771}",M03,goal-indifferent-selected-n-1,"{""count"":1,""family"":""goal-indifferent"",""id"":""goal-indifferent-selected-n-1"",""retention"":""selected""}",failed,"{""aggregation"":""equal maker mean of paired task-packet differences"",""arm"":""audience-only"",""denominator"":""all independent maker task packets, including failures"",""id"":""M03-audience-only-minus-none-historical_core_log_score"",""interval_target"":""same mean; constructors then makers within constructor"",""numerator"":""audience-only minus none: historical_core_log_score"",""practical_bar"":0.02,""rival"":""none"",""target"":""historical_core_log_score"",""units"":""nats_per_event""}",discovery final boundary expansion,"[-1.0950441942103595e-17,9.432558900623889e-18]",-7.589415207398531e-19,128,1024,7.30551470369049e-17,boundary-expansion-1/M03
"{""access_arms"":""paired audience/rehearsal information interventions with identical opportunities and explicit prices; direct-both and both have identical information""}","{""method"":""constructors then makers, empirical percentile"",""quantile"":""floor(p*(B-1))"",""replicates"":1999,""seed"":771}",M03,goal-indifferent-selected-n-4,"{""count"":4,""family"":""goal-indifferent"",""id"":""goal-indifferent-selected-n-4"",""retention"":""selected""}",held,"{""aggregation"":""equal maker mean of paired task-packet differences"",""arm"":""both"",""denominator"":""all independent maker task packets, including failures"",""id"":""M03-both-minus-rehearsal-only-audience_success"",""interval_target"":""same mean; constructors then makers within constructor"",""numerator"":""both minus rehearsal-only: audience_success"",""practical_bar"":0.05,""rival"":""rehearsal-only"",""target"":""audience_success"",""units"":""success_fraction""}",discovery final boundary expansion,"[0.109375,0.1650390625]",0.1357421875,128,1024,0.3426819584835011,boundary-expansion-1/M03
"{""access_arms"":""paired audience/rehearsal information interventions with identical opportunities and explicit prices; direct-both and both have identical information""}","{""method"":""constructors then makers, empirical percentile"",""quantile"":""floor(p*(B-1))"",""replicates"":1999,""seed"":771}",M03,goal-indifferent-selected-n-4,"{""count"":4,""family"":""goal-indifferent"",""id"":""goal-indifferent-selected-n-4"",""retention"":""selected""}",failed,"{""aggregation"":""equal maker mean of paired task-packet differences"",""arm"":""both"",""denominator"":""all independent maker task packets, including failures"",""id"":""M03-both-minus-audience-only-historical_core_log_score"",""interval_target"":""same mean; constructors then makers within constructor"",""numerator"":""both minus audience-only: historical_core_log_score"",""practical_bar"":0.02,""rival"":""audience-only"",""target"":""historical_core_log_score"",""units"":""nats_per_event""}",discovery final boundary expansion,"[-9.86623976961809e-18,1.0191500421363742e-17]",3.2526065174565133e-19,128,1024,8.424164136335506e-17,boundary-expansion-1/M03
"{""access_arms"":""paired audience/rehearsal information interventions with identical opportunities and explicit prices; direct-both and both have identical information""}","{""method"":""constructors then makers, empirical percentile"",""quantile"":""floor(p*(B-1))"",""replicates"":1999,""seed"":771}",M03,goal-indifferent-selected-n-4,"{""count"":4,""family"":""goal-indifferent"",""id"":""goal-indifferent-selected-n-4"",""retention"":""selected""}",failed,"{""aggregation"":""equal maker mean of paired task-packet differences"",""arm"":""both"",""denominator"":""all independent maker task packets, including failures"",""id"":""M03-both-minus-direct-both-audience_success"",""interval_target"":""same mean; constructors then makers within constructor"",""numerator"":""both minus direct-both: audience_success"",""practical_bar"":0.05,""rival"":""direct-both"",""target"":""audience_success"",""units"":""success_fraction""}",discovery final boundary expansion,"[0.0,0.0]",0.0,128,1024,0.0,boundary-expansion-1/M03
"{""access_arms"":""paired audience/rehearsal information interventions with identical opportunities and explicit prices; direct-both and both have identical information""}","{""method"":""constructors then makers, empirical percentile"",""quantile"":""floor(p*(B-1))"",""replicates"":1999,""seed"":771}",M03,goal-indifferent-selected-n-4,"{""count"":4,""family"":""goal-indifferent"",""id"":""goal-indifferent-selected-n-4"",""retention"":""selected""}",failed,"{""aggregation"":""equal maker mean of paired task-packet differences"",""arm"":""audience-only"",""denominator"":""all independent maker task packets, including failures"",""id"":""M03-audience-only-minus-none-historical_core_log_score"",""interval_target"":""same mean; constructors then makers within constructor"",""numerator"":""audience-only minus none: historical_core_log_score"",""practical_bar"":0.02,""rival"":""none"",""target"":""historical_core_log_score"",""units"":""nats_per_event""}",discovery final boundary expansion,"[-4.119968255444917e-18,2.1033522146218786e-17]",8.456776945386935e-18,128,1024,1.0732840311318802e-16,boundary-expansion-1/M03
